Epoch,Reservoir Accuracy,Reservoir p-value,Unfrozen Accuracy,10% Weights Frozen Accuracy,10% Weights Frozen p-value,20% Weights Frozen Accuracy,20% Weights Frozen p-value,30% Weights Frozen Accuracy,30% Weights Frozen p-value,40% Weights Frozen Accuracy,40% Weights Frozen p-value,50% Weights Frozen Accuracy,50% Weights Frozen p-value
0,0.099,0.392864228,0.101,0.101,0.946095303,0.100,0.712894608,0.101,0.939060835,0.098,0.290804509,0.100,0.753966631
1,0.357,0.024214969,0.347,0.353,0.201405204,0.346,0.775724804,0.356,0.039629268,0.355,0.036603688,0.353,0.197072285
2,0.397,0.023475703,0.386,0.391,0.185466709,0.390,0.299953896,0.393,0.08417207,0.396,0.021094864,0.398,0.001089185
3,0.426,0.000168095,0.412,0.414,0.40597026,0.415,0.307849328,0.416,0.250856686,0.418,0.047672615,0.424,1.99E-05
4,0.440,0.002552827,0.429,0.432,0.312557694,0.433,0.188668038,0.435,0.064840922,0.438,0.002967964,0.438,0.018238468
5,0.454,0.000367324,0.444,0.445,0.718520499,0.446,0.420062693,0.451,0.018217142,0.450,0.024860249,0.449,0.067498447
