layer_base_width,frozen,train_accuracy,val_accuracy,layer_0_train_separability,layer_0_test_separability,layer_1_train_separability,layer_1_test_separability,layer_2_train_separability,layer_2_test_separability,layer_3_train_separability,layer_3_test_separability,layer_4_train_separability,layer_4_test_separability,layer_5_train_separability,layer_5_test_separability
32,True,0.1770000010728836,0.15029999613761902,0.07746,0.075,0.12306,0.1187,0.11842,0.1123,0.10442,0.0961,0.1446,0.1302,0.13622,0.1255
32,True,0.2040800005197525,0.1761000007390976,0.0887,0.0873,0.13574,0.1285,0.12838,0.1232,0.12862,0.1208,0.1587,0.1436,0.15294,0.1385
32,True,0.17486000061035156,0.15610000491142273,0.0721,0.0726,0.1204,0.1124,0.11034,0.1069,0.11368,0.1066,0.1452,0.1328,0.13532,0.124
32,True,0.13165999948978424,0.12030000239610672,0.05584,0.0564,0.09538,0.0901,0.08728,0.0819,0.09016,0.0826,0.11854,0.1096,0.11022,0.1024
32,True,0.15365999937057495,0.1396999955177307,0.06574,0.0666,0.10856,0.1032,0.09886,0.0938,0.10536,0.1021,0.13226,0.122,0.12446,0.1138
32,True,0.03646000102162361,0.03739999979734421,0.01002,0.01,0.01248,0.0089,0.01902,0.0176,0.0394,0.0343,0.04268,0.0355,0.04012,0.0367
32,True,0.03508000075817108,0.0348999984562397,0.01788,0.0183,0.02116,0.0197,0.02044,0.0203,0.03674,0.0362,0.04074,0.0333,0.0366,0.0361
32,True,0.15219999849796295,0.13850000500679016,0.06568,0.0636,0.10794,0.1,0.10576,0.0959,0.10702,0.0961,0.12934,0.1177,0.12156,0.1107
32,True,0.15557999908924103,0.13729999959468842,0.064,0.0629,0.10952,0.1061,0.09358,0.0889,0.10816,0.1007,0.13254,0.1241,0.12624,0.1174
32,True,0.1791599988937378,0.15539999306201935,0.07846,0.0784,0.12012,0.1141,0.1084,0.1017,0.11954,0.1139,0.14778,0.1374,0.1411,0.1327
32,True,0.20679999887943268,0.1712999939918518,0.09086,0.088,0.13994,0.1305,0.12642,0.1182,0.12602,0.1165,0.1629,0.1441,0.15414,0.1393
32,True,0.17615999281406403,0.14949999749660492,0.07652,0.0755,0.11862,0.1138,0.11176,0.1075,0.12358,0.1132,0.14766,0.1345,0.13774,0.1295
32,True,0.15476000308990479,0.13910000026226044,0.0646,0.0622,0.10472,0.1006,0.09944,0.0947,0.10978,0.1076,0.13634,0.1254,0.1262,0.1183
32,True,0.13106000423431396,0.11879999935626984,0.05742,0.0574,0.09366,0.0895,0.0874,0.0827,0.09788,0.0893,0.12258,0.1111,0.11148,0.1037
32,True,0.1872600018978119,0.16920000314712524,0.08564,0.0835,0.13228,0.1249,0.12362,0.1163,0.1225,0.1167,0.15658,0.1445,0.1443,0.1305
32,True,0.20389999449253082,0.17980000376701355,0.08762,0.0866,0.13414,0.1266,0.11456,0.1138,0.13128,0.1289,0.15704,0.1478,0.15324,0.1413
32,True,0.13154000043869019,0.11670000106096268,0.05432,0.0549,0.09586,0.0889,0.0953,0.0892,0.1028,0.0975,0.11894,0.1094,0.11374,0.1043
32,True,0.1761000007390976,0.15230000019073486,0.07296,0.0734,0.12554,0.118,0.1172,0.1066,0.1211,0.1157,0.14542,0.1326,0.13712,0.1228
32,True,0.1532599925994873,0.13760000467300415,0.06748,0.0653,0.11078,0.1044,0.10214,0.0985,0.1096,0.1,0.1335,0.1199,0.12638,0.1176
32,True,0.13255999982357025,0.12330000102519989,0.05876,0.0582,0.09894,0.0916,0.09374,0.089,0.10542,0.0966,0.12108,0.1111,0.1138,0.1091
32,True,0.15379999577999115,0.13179999589920044,0.06468,0.0641,0.1047,0.0959,0.10794,0.0996,0.10958,0.1,0.13424,0.1202,0.12132,0.1109
32,True,0.1580200046300888,0.1371999979019165,0.06672,0.0668,0.11366,0.1073,0.10804,0.1034,0.11074,0.1054,0.13444,0.1234,0.12092,0.111
32,True,0.15469999611377716,0.13420000672340393,0.06602,0.0636,0.10714,0.1032,0.10196,0.0966,0.10572,0.0978,0.13372,0.125,0.12552,0.1157
32,True,0.10209999978542328,0.09740000218153,0.04586,0.0458,0.0775,0.0733,0.07804,0.0741,0.0772,0.072,0.10156,0.0963,0.0901,0.0858
32,True,0.1569799929857254,0.14010000228881836,0.06656,0.0634,0.1066,0.1004,0.1043,0.1004,0.11494,0.1048,0.13734,0.1247,0.12916,0.1184
32,False,0.1635199934244156,0.13339999318122864,0.06576,0.0656,0.11684,0.1112,0.09964,0.0947,0.11534,0.1058,0.13566,0.1243,0.1262,0.1136
32,False,0.1863200068473816,0.15649999678134918,0.07016,0.0689,0.12922,0.1235,0.1051,0.0993,0.11756,0.1079,0.15008,0.1322,0.14482,0.1268
32,False,0.1856600046157837,0.15850000083446503,0.07534,0.0736,0.12834,0.1244,0.11012,0.1024,0.11984,0.1151,0.15082,0.1379,0.1445,0.1302
32,False,0.15977999567985535,0.1386999934911728,0.0625,0.0626,0.11368,0.1068,0.0942,0.0897,0.10966,0.1036,0.1354,0.1205,0.12526,0.1156
32,False,0.18529999256134033,0.15410000085830688,0.07234,0.0732,0.13428,0.128,0.10308,0.0996,0.1247,0.1202,0.1499,0.1334,0.1441,0.128
32,False,0.16264000535011292,0.14569999277591705,0.06592,0.0655,0.12176,0.1169,0.10572,0.0993,0.11118,0.1011,0.14154,0.1259,0.13504,0.1188
32,False,0.2189200073480606,0.17599999904632568,0.09034,0.0867,0.14582,0.1379,0.12206,0.1137,0.14172,0.1298,0.17308,0.1543,0.16396,0.1461
32,False,0.2002599984407425,0.16619999706745148,0.08404,0.0813,0.13836,0.1288,0.12014,0.1105,0.134,0.1246,0.16448,0.1485,0.15038,0.1336
32,False,0.1866600066423416,0.15549999475479126,0.07658,0.0737,0.128,0.1226,0.11058,0.1018,0.11856,0.1089,0.15112,0.1339,0.14166,0.1274
32,False,0.07336000353097916,0.06710000336170197,0.02422,0.0229,0.05632,0.0526,0.05592,0.0516,0.0685,0.0665,0.0771,0.0733,0.07238,0.0651
32,False,0.20231999456882477,0.16349999606609344,0.07764,0.074,0.14186,0.129,0.10972,0.1036,0.12542,0.1144,0.158,0.1379,0.14838,0.1326
32,False,0.20372000336647034,0.16259999573230743,0.07652,0.0759,0.14238,0.1332,0.12012,0.1128,0.13066,0.1224,0.16254,0.1483,0.1532,0.1396
32,False,0.2346400022506714,0.19059999287128448,0.099,0.0956,0.15144,0.1392,0.1295,0.1226,0.14646,0.1313,0.18296,0.1553,0.17554,0.148
32,False,0.18355999886989594,0.15729999542236328,0.07362,0.0729,0.13444,0.1256,0.10472,0.1012,0.12472,0.1149,0.14906,0.1339,0.13878,0.1229
32,False,0.1764799952507019,0.1500999927520752,0.07366,0.0714,0.12028,0.1118,0.10432,0.1006,0.11362,0.107,0.14372,0.1297,0.13464,0.1195
32,False,0.1327199935913086,0.11940000206232071,0.06102,0.0599,0.0882,0.0801,0.0919,0.0902,0.09664,0.0873,0.12062,0.1052,0.11278,0.1011
32,False,0.18987999856472015,0.1460999995470047,0.07838,0.0773,0.14174,0.13,0.117,0.1094,0.12324,0.1173,0.1534,0.1402,0.14654,0.131
32,False,0.23623999953269958,0.1907999962568283,0.09848,0.0952,0.1491,0.1392,0.1228,0.1177,0.14588,0.1368,0.18144,0.1621,0.17652,0.1583
32,False,0.1637199968099594,0.13840000331401825,0.06716,0.0662,0.12164,0.1123,0.09846,0.0959,0.11592,0.1098,0.1408,0.1259,0.1291,0.1155
32,False,0.1900400072336197,0.16189999878406525,0.07456,0.0745,0.13686,0.1279,0.11634,0.1074,0.1268,0.1171,0.15672,0.1424,0.1522,0.1309
32,False,0.16422000527381897,0.1388999968767166,0.06472,0.0663,0.11902,0.1152,0.10402,0.0996,0.11096,0.1069,0.13674,0.1248,0.13314,0.1201
32,False,0.13847999274730682,0.11810000240802765,0.05582,0.0561,0.10754,0.1035,0.09742,0.0897,0.1014,0.0933,0.12138,0.1101,0.11728,0.1038
32,False,0.1938599944114685,0.15629999339580536,0.07514,0.0758,0.13234,0.1227,0.11468,0.1039,0.11934,0.1107,0.1542,0.139,0.14942,0.1319
32,False,0.20880000293254852,0.17839999496936798,0.07864,0.0781,0.13924,0.1327,0.11796,0.1113,0.13192,0.1198,0.1683,0.1513,0.15732,0.1402
32,False,0.1999800056219101,0.16009999811649323,0.0783,0.0792,0.13948,0.1286,0.11438,0.1081,0.13324,0.127,0.16148,0.1415,0.15114,0.1314
64,True,0.25176000595092773,0.1835000067949295,0.09922,0.0973,0.1652,0.156,0.14,0.129,0.16114,0.1426,0.1973,0.1723,0.1895,0.1602
64,True,0.2653999924659729,0.1972000002861023,0.10082,0.097,0.17164,0.1606,0.15248,0.1408,0.16634,0.1493,0.20104,0.1738,0.19988,0.1613
64,True,0.26052001118659973,0.1889999955892563,0.09766,0.095,0.16662,0.1505,0.14994,0.1362,0.1602,0.1427,0.19654,0.168,0.19488,0.1584
64,True,0.27226001024246216,0.19699999690055847,0.10774,0.1051,0.17508,0.1609,0.14778,0.1376,0.16336,0.1474,0.20274,0.1742,0.2008,0.1679
