regularization,frozen,train_accuracy,val_accuracy,layer_0_train_separability,layer_0_test_separability,layer_1_train_separability,layer_1_test_separability,layer_2_train_separability,layer_2_test_separability,layer_3_train_separability,layer_3_test_separability,layer_4_train_separability,layer_4_test_separability,layer_5_train_separability,layer_5_test_separability
l1_0.001,True,0.20362000167369843,0.20149999856948853,0.10174,0.1013,0.12132,0.1073,0.10174,0.1013,0.21236,0.2047,0.22644,0.1972,0.20974,0.2077
l1_0.001,True,0.2711000144481659,0.26840001344680786,0.25436,0.2497,0.28252,0.2574,0.18566,0.1823,0.28538,0.2742,0.30004,0.2746,0.28652,0.282
l1_0.001,True,0.20260000228881836,0.20250000059604645,0.10254,0.1022,0.12104,0.1038,0.10254,0.1022,0.2096,0.2008,0.2299,0.1996,0.21334,0.2109
l1_0.001,True,0.2708599865436554,0.262800008058548,0.24676,0.2434,0.28286,0.2565,0.18154,0.1794,0.27866,0.2695,0.29238,0.2727,0.28214,0.2811
l1_0.001,True,0.2022400051355362,0.20020000636577606,0.10184,0.1015,0.12074,0.0984,0.1,0.1,0.2132,0.2027,0.22446,0.1951,0.20828,0.2051
l1_0.001,True,0.20462000370025635,0.20520000159740448,0.10258,0.1029,0.12136,0.1024,0.1,0.1,0.21706,0.2043,0.23108,0.2047,0.21422,0.21
l1_0.001,True,0.20217999815940857,0.2071000039577484,0.10214,0.1017,0.12136,0.0969,0.10214,0.1017,0.21468,0.2045,0.22686,0.1988,0.2108,0.2089
l1_0.001,True,0.20149999856948853,0.19990000128746033,0.10236,0.1027,0.12008,0.0994,0.10238,0.1027,0.21116,0.1981,0.22706,0.2021,0.20932,0.2075
l1_0.001,True,0.20324000716209412,0.20659999549388885,0.10196,0.1019,0.11998,0.1009,0.10196,0.1019,0.21552,0.2071,0.23204,0.2043,0.21376,0.2127
l1_0.001,True,0.2052599936723709,0.2045000046491623,0.10186,0.1017,0.11938,0.1042,0.10186,0.1017,0.2111,0.2078,0.22708,0.2006,0.21068,0.207
l1_0.001,True,0.2034199982881546,0.21070000529289246,0.10192,0.1018,0.11988,0.0973,0.10192,0.1018,0.21108,0.2029,0.2274,0.197,0.21216,0.2104
l1_0.001,True,0.27107998728752136,0.2590999901294708,0.2555,0.2544,0.29128,0.2623,0.18598,0.1854,0.28338,0.279,0.29844,0.2764,0.28558,0.2822
l1_0.001,True,0.20294000208377838,0.19670000672340393,0.10166,0.1012,0.12038,0.0998,0.10166,0.1012,0.20798,0.1993,0.22696,0.1988,0.21146,0.2059
l1_0.001,True,0.2714399993419647,0.26739999651908875,0.18244,0.1826,0.23406,0.2082,0.18316,0.183,0.28498,0.2815,0.29752,0.2819,0.28496,0.2819
l1_0.001,True,0.2679600119590759,0.27630001306533813,0.18006,0.1792,0.23218,0.2196,0.1793,0.1785,0.27778,0.2816,0.29576,0.28,0.28164,0.2813
l1_0.001,True,0.20297999680042267,0.1973000019788742,0.1015,0.1011,0.12092,0.0997,0.1015,0.1011,0.21166,0.2014,0.22638,0.2048,0.21028,0.2075
l1_0.001,True,0.20372000336647034,0.20720000565052032,0.10218,0.1018,0.11926,0.1024,0.10218,0.1018,0.21228,0.2052,0.23056,0.2041,0.21266,0.2092
l1_0.001,True,0.2717599868774414,0.23440000414848328,0.19812,0.1963,0.24194,0.2167,0.19968,0.1991,0.2838,0.2761,0.2957,0.2705,0.28094,0.2802
l1_0.001,True,0.20465999841690063,0.20630000531673431,0.1017,0.1014,0.1192,0.1017,0.1017,0.1014,0.20978,0.2014,0.22772,0.1978,0.21186,0.2122
l1_0.001,True,0.20311999320983887,0.20059999823570251,0.10192,0.1019,0.12004,0.098,0.10192,0.1019,0.2124,0.2063,0.22994,0.2053,0.21124,0.2076
l1_0.001,True,0.27017998695373535,0.2734000086784363,0.28146,0.2771,0.31672,0.2969,0.1824,0.1819,0.28136,0.2798,0.29392,0.2801,0.28044,0.282
l1_0.001,True,0.2709200084209442,0.28209999203681946,0.23494,0.237,0.26752,0.2469,0.18524,0.183,0.27876,0.269,0.29626,0.2796,0.28362,0.2828
l1_0.001,True,0.2732599973678589,0.27880001068115234,0.25346,0.2511,0.28434,0.2625,0.18188,0.1794,0.28112,0.2785,0.29904,0.276,0.28758,0.2845
