position,frozen,train_accuracy,val_accuracy,layer_0_train_separability,layer_0_test_separability,layer_1_train_separability,layer_1_test_separability,layer_2_train_separability,layer_2_test_separability,layer_3_train_separability,layer_3_test_separability,layer_4_train_separability,layer_4_test_separability,layer_5_train_separability,layer_5_test_separability
alternating,True,0.8294199705123901,0.4487999975681305,0.4221,0.4119,0.50812,0.4788,0.50704,0.4661,0.5707,0.4916,0.6161,0.4912,0.6978,0.4527
alternating,True,0.8489199876785278,0.47099998593330383,0.45084,0.4338,0.52998,0.4902,0.53586,0.4749,0.6117,0.5007,0.66128,0.5044,0.75678,0.4749
alternating,True,0.8640400171279907,0.4839000105857849,0.44142,0.4327,0.52818,0.4917,0.5354,0.485,0.6179,0.5033,0.66306,0.5118,0.7535,0.4783
alternating,True,0.8611999750137329,0.46160000562667847,0.44182,0.4256,0.52288,0.4806,0.52546,0.4754,0.60844,0.5011,0.6594,0.501,0.74874,0.4647
alternating,True,0.850380003452301,0.4528000056743622,0.43,0.4103,0.5213,0.4852,0.52174,0.4735,0.59548,0.4932,0.64066,0.5063,0.73762,0.4639
alternating,True,0.8585000038146973,0.47049999237060547,0.43884,0.4259,0.52392,0.4864,0.52866,0.4818,0.60966,0.4993,0.65582,0.5063,0.76038,0.4699
alternating,True,0.8564000129699707,0.4650000035762787,0.44692,0.4317,0.5262,0.4883,0.53688,0.4807,0.61266,0.4976,0.65776,0.4953,0.74038,0.4725
alternating,True,0.8577200174331665,0.47609999775886536,0.4492,0.429,0.5321,0.4879,0.54104,0.4779,0.62376,0.5046,0.66706,0.5081,0.74444,0.48
alternating,True,0.869920015335083,0.4747999906539917,0.44722,0.4327,0.52656,0.4895,0.5393,0.4884,0.6209,0.5058,0.6717,0.5108,0.7629,0.4684
alternating,True,0.8734599947929382,0.46149998903274536,0.44104,0.4301,0.52474,0.4866,0.53764,0.484,0.60802,0.4975,0.6503,0.5043,0.7354,0.474
alternating,True,0.86735999584198,0.46470001339912415,0.44938,0.4321,0.5291,0.4936,0.54038,0.4785,0.6086,0.4986,0.65822,0.5032,0.75738,0.474
alternating,True,0.8657000064849854,0.4652000069618225,0.44268,0.4264,0.52484,0.4906,0.53058,0.4789,0.6082,0.4977,0.65522,0.5016,0.7559,0.4639
alternating,True,0.862339973449707,0.46790000796318054,0.43468,0.418,0.52464,0.4854,0.53016,0.4837,0.60584,0.496,0.65278,0.5071,0.74866,0.471
alternating,True,0.8619400262832642,0.4553000032901764,0.4362,0.427,0.52256,0.4874,0.53086,0.486,0.59528,0.5009,0.63824,0.5061,0.71612,0.4661
alternating,True,0.8670200109481812,0.4666000008583069,0.44022,0.4244,0.52798,0.4875,0.53758,0.4813,0.6099,0.503,0.65928,0.5074,0.76006,0.4727
alternating,True,0.8563200235366821,0.4830000102519989,0.45918,0.4462,0.52922,0.4898,0.5486,0.4874,0.62748,0.5009,0.67544,0.5023,0.75076,0.4874
alternating,True,0.8621600270271301,0.4684000015258789,0.4519,0.4286,0.52662,0.4828,0.53758,0.4778,0.60772,0.4942,0.65734,0.4965,0.74568,0.4733
alternating,True,0.867579996585846,0.4553999900817871,0.44974,0.4334,0.52722,0.4901,0.53408,0.4815,0.6157,0.502,0.66196,0.5062,0.73638,0.4606
alternating,True,0.8567600250244141,0.4788999855518341,0.44836,0.4317,0.5296,0.4914,0.5495,0.4928,0.63786,0.5052,0.68452,0.5087,0.7715,0.479
alternating,True,0.8526800274848938,0.4641999900341034,0.44718,0.432,0.5262,0.4853,0.52952,0.4797,0.59988,0.5019,0.64356,0.5041,0.73342,0.4685
alternating,True,0.8712599873542786,0.4659000039100647,0.44294,0.4357,0.5257,0.4915,0.54354,0.4894,0.62416,0.5032,0.66666,0.5059,0.74186,0.4751
alternating,True,0.8528000116348267,0.4691999852657318,0.4357,0.4297,0.5243,0.4899,0.53576,0.4807,0.61526,0.5032,0.66202,0.5058,0.7471,0.469
alternating,True,0.8532800078392029,0.4684000015258789,0.43544,0.4228,0.52358,0.4862,0.5285,0.4809,0.6111,0.5033,0.66032,0.5053,0.74232,0.476
alternating,True,0.8501999974250793,0.45989999175071716,0.44094,0.4275,0.524,0.4953,0.52756,0.4727,0.60696,0.4981,0.64708,0.5025,0.74464,0.4654
alternating,True,0.8600199818611145,0.4661000072956085,0.43732,0.4199,0.5255,0.4908,0.53684,0.4867,0.61436,0.5054,0.66052,0.506,0.76174,0.4659
alternating,False,0.8802800178527832,0.4553999900817871,0.41478,0.4019,0.5211,0.4869,0.57048,0.4802,0.66672,0.4745,0.8048,0.468,0.85976,0.4551
alternating,False,0.8880199790000916,0.4546000063419342,0.41718,0.4083,0.51808,0.4809,0.5724,0.4841,0.66442,0.4773,0.786,0.4719,0.82998,0.452
alternating,False,0.8825399875640869,0.45170000195503235,0.4264,0.4159,0.52824,0.4911,0.5854,0.4824,0.67752,0.4795,0.79004,0.4729,0.831,0.4577
alternating,False,0.8845999836921692,0.4560999870300293,0.42728,0.4192,0.529,0.4931,0.586,0.4831,0.67936,0.4767,0.80402,0.4784,0.84998,0.4578
alternating,False,0.8820599913597107,0.46160000562667847,0.43568,0.424,0.53172,0.4891,0.59018,0.485,0.68948,0.4797,0.81412,0.4687,0.84852,0.4582
alternating,False,0.8853200078010559,0.4537999927997589,0.43012,0.4169,0.52488,0.4871,0.57724,0.4824,0.66368,0.478,0.79244,0.4724,0.8431,0.4521
alternating,False,0.8740800023078918,0.4499000012874603,0.42094,0.4161,0.51988,0.4886,0.56148,0.4779,0.65244,0.4775,0.78536,0.473,0.8417,0.4489
alternating,False,0.8988000154495239,0.46149998903274536,0.43612,0.4302,0.53862,0.4929,0.60506,0.4903,0.71096,0.4763,0.82078,0.4663,0.86496,0.4587
alternating,False,0.8783599734306335,0.4481000006198883,0.42166,0.4082,0.52084,0.4865,0.567,0.4832,0.65898,0.4797,0.7968,0.477,0.84842,0.4494
alternating,False,0.8885200023651123,0.46059998869895935,0.42992,0.4178,0.53128,0.4913,0.5961,0.484,0.68638,0.4859,0.8265,0.475,0.87522,0.4603
alternating,False,0.8753399848937988,0.44850000739097595,0.4252,0.4202,0.51616,0.4803,0.56218,0.4771,0.64714,0.4772,0.77674,0.4698,0.83984,0.449
alternating,False,0.8859000205993652,0.4453999996185303,0.40906,0.4027,0.51216,0.481,0.55288,0.4738,0.63586,0.4706,0.77216,0.4664,0.8312,0.4424
alternating,False,0.8775399923324585,0.45570001006126404,0.40918,0.3983,0.51742,0.4857,0.56952,0.473,0.6631,0.4763,0.797,0.4685,0.8538,0.4511
alternating,False,0.8795400261878967,0.4551999866962433,0.41482,0.4069,0.52502,0.4909,0.5686,0.481,0.65962,0.4816,0.78894,0.4785,0.83706,0.4552
alternating,False,0.8861799836158752,0.4494999945163727,0.4159,0.4143,0.52268,0.4897,0.59078,0.4852,0.69102,0.4792,0.81526,0.4685,0.8563,0.4525
alternating,False,0.881820023059845,0.45320001244544983,0.42266,0.4148,0.52816,0.4895,0.58076,0.4821,0.68442,0.4834,0.79784,0.4778,0.84678,0.4598
alternating,False,0.8785200119018555,0.4587000012397766,0.4344,0.4221,0.53354,0.4897,0.5938,0.4803,0.6818,0.4816,0.80646,0.4764,0.85142,0.4575
alternating,False,0.8770599961280823,0.45840001106262207,0.42462,0.4182,0.5268,0.4868,0.57324,0.4873,0.66976,0.4791,0.79332,0.4743,0.84566,0.4558
alternating,False,0.8797600269317627,0.4691999852657318,0.43138,0.4222,0.5347,0.4931,0.59004,0.4934,0.69302,0.4882,0.81032,0.4832,0.85494,0.4671
alternating,False,0.8844599723815918,0.46149998903274536,0.43368,0.4268,0.53712,0.4945,0.6037,0.4829,0.70928,0.4881,0.81994,0.4764,0.86516,0.4564
alternating,False,0.8734800219535828,0.45159998536109924,0.42866,0.4209,0.52486,0.4885,0.58052,0.4828,0.6632,0.4807,0.77256,0.4716,0.81468,0.4536
alternating,False,0.8815400004386902,0.45809999108314514,0.42854,0.4129,0.52996,0.4812,0.57962,0.4846,0.68442,0.474,0.81418,0.4694,0.85748,0.4616
alternating,False,0.8760200142860413,0.4578999876976013,0.41784,0.4111,0.51848,0.4817,0.57188,0.4787,0.67602,0.4793,0.80512,0.4733,0.86096,0.4526
alternating,False,0.8835999965667725,0.45350000262260437,0.425,0.4183,0.52576,0.4852,0.5821,0.4787,0.67584,0.4781,0.81078,0.4684,0.85908,0.4537
alternating,False,0.8742200136184692,0.44859999418258667,0.41328,0.3997,0.52118,0.4837,0.5643,0.4773,0.6488,0.4796,0.78024,0.4706,0.83564,0.4524
front,True,0.9476000070571899,0.4350999891757965,0.43858,0.4134,0.4282,0.4079,0.47744,0.4377,0.5658,0.4637,0.70742,0.4682,0.82708,0.4516
front,True,0.9546999931335449,0.44029998779296875,0.43502,0.4175,0.42832,0.4158,0.48844,0.4451,0.58966,0.4668,0.74136,0.4673,0.85564,0.4602
front,True,0.9615600109100342,0.45320001244544983,0.43408,0.4163,0.4263,0.4115,0.48536,0.4422,0.58162,0.4693,0.73344,0.4767,0.84908,0.4613
front,True,0.9505400061607361,0.451200008392334,0.43614,0.4217,0.43094,0.4178,0.47744,0.4414,0.5687,0.467,0.70798,0.465,0.83676,0.4606
front,True,0.9505800008773804,0.436599999666214,0.43792,0.4189,0.4303,0.4167,0.48656,0.4422,0.5826,0.465,0.7311,0.4555,0.84598,0.4512
front,True,0.9524199962615967,0.4350999891757965,0.43628,0.4185,0.43002,0.4115,0.47782,0.4391,0.57484,0.4648,0.71772,0.4657,0.84368,0.4514
front,True,0.9514200091362,0.4408000111579895,0.43584,0.4197,0.42706,0.4103,0.47936,0.4438,0.576,0.4668,0.72518,0.4673,0.85414,0.4615
front,True,0.9543600082397461,0.4408999979496002,0.43606,0.4231,0.43158,0.4177,0.48868,0.4441,0.58648,0.4675,0.73504,0.4728,0.8592,0.447
front,True,0.9480599761009216,0.4343000054359436,0.43522,0.4185,0.42986,0.4093,0.47326,0.4277,0.5665,0.4633,0.7074,0.459,0.84392,0.4527
front,True,0.9476400017738342,0.4350000023841858,0.43618,0.4212,0.42702,0.4091,0.46698,0.4333,0.55806,0.4681,0.6955,0.4665,0.81968,0.4504
front,True,0.9534199833869934,0.444599986076355,0.43312,0.4151,0.4276,0.4107,0.48624,0.4337,0.57822,0.4652,0.72742,0.4626,0.85058,0.4575
front,True,0.9458600282669067,0.4307999908924103,0.43428,0.4095,0.42908,0.4133,0.4726,0.4289,0.55704,0.4634,0.6922,0.4657,0.83604,0.4543
front,True,0.9478399753570557,0.4325000047683716,0.43976,0.4157,0.42994,0.4086,0.47262,0.4378,0.55968,0.462,0.69158,0.4613,0.83704,0.4495
front,True,0.9417200088500977,0.4359999895095825,0.43864,0.4158,0.42942,0.4161,0.4834,0.4391,0.57058,0.4666,0.70232,0.4702,0.8188,0.4503
front,True,0.9559999704360962,0.44040000438690186,0.43744,0.4169,0.42706,0.4075,0.48904,0.436,0.58044,0.4634,0.7275,0.4577,0.84998,0.4472
front,True,0.9477999806404114,0.44350001215934753,0.43834,0.418,0.43274,0.4226,0.47704,0.4416,0.55636,0.4632,0.69668,0.4683,0.82608,0.4557
front,True,0.9471200108528137,0.4397999942302704,0.43506,0.4116,0.42948,0.4104,0.47258,0.4353,0.5566,0.47,0.69218,0.4711,0.8374,0.4532
front,True,0.9448999762535095,0.4372999966144562,0.43526,0.4193,0.42808,0.4079,0.47244,0.4338,0.56392,0.458,0.69244,0.4641,0.82534,0.4541
front,True,0.9530199766159058,0.43639999628067017,0.43556,0.4195,0.42916,0.4081,0.48244,0.437,0.57826,0.4614,0.73188,0.4655,0.85168,0.4499
front,True,0.9572200179100037,0.43299999833106995,0.43454,0.4196,0.42708,0.4095,0.48254,0.4318,0.57604,0.4607,0.72928,0.4683,0.85244,0.4524
front,True,0.9489799737930298,0.43140000104904175,0.43492,0.4186,0.42568,0.4092,0.47954,0.4393,0.57204,0.4625,0.71614,0.457,0.8437,0.4465
front,True,0.9436399936676025,0.4375999867916107,0.4354,0.4177,0.42936,0.4159,0.47092,0.4349,0.55534,0.4629,0.68296,0.461,0.8222,0.4569
front,True,0.9470599889755249,0.43309998512268066,0.43692,0.4156,0.43092,0.4096,0.47526,0.4379,0.55686,0.4574,0.69276,0.4617,0.83008,0.4586
front,True,0.950659990310669,0.44609999656677246,0.43584,0.41,0.42824,0.4075,0.48956,0.4399,0.58606,0.4617,0.73324,0.4637,0.85508,0.4566
front,True,0.9472799897193909,0.43549999594688416,0.43438,0.412,0.4298,0.409,0.47054,0.4421,0.5529,0.4643,0.68514,0.4667,0.82506,0.4554
front,False,0.8788800239562988,0.4706000089645386,0.44454,0.4342,0.5399,0.4907,0.61234,0.4957,0.70558,0.4847,0.80552,0.4787,0.84506,0.465
front,False,0.8818600177764893,0.4767000079154968,0.44936,0.4299,0.54222,0.4958,0.6137,0.4888,0.72942,0.4889,0.82512,0.4798,0.85724,0.4708
front,False,0.8834599852561951,0.4853000044822693,0.4585,0.4397,0.55184,0.4948,0.63706,0.4964,0.7579,0.4941,0.8522,0.4879,0.87918,0.483
front,False,0.8933799862861633,0.47450000047683716,0.45404,0.4309,0.5511,0.4948,0.63452,0.4849,0.74882,0.4825,0.8392,0.4759,0.87698,0.4707
