frozen,train_accuracy,val_accuracy,layer_0_training_separability_train,layer_0_testing_separability_train,layer_0_testing_separability_test,layer_0_training_separability_test,layer_1_training_separability_train,layer_1_testing_separability_train,layer_1_testing_separability_test,layer_1_training_separability_test,layer_2_training_separability_train,layer_2_testing_separability_train,layer_2_testing_separability_test,layer_2_training_separability_test,layer_3_training_separability_train,layer_3_testing_separability_train,layer_3_testing_separability_test,layer_3_training_separability_test,layer_4_training_separability_train,layer_4_testing_separability_train,layer_4_testing_separability_test,layer_4_training_separability_test,layer_5_training_separability_train,layer_5_testing_separability_train,layer_5_testing_separability_test,layer_5_training_separability_test
True,0.5593600273132324,0.17550000548362732,0.13444,0.1291,0.1351,0.12546,0.24274,0.2039,0.3565,0.1916,0.17672,0.155,0.1805,0.16814,0.23436,0.1938,0.2423,0.19876,0.283,0.2069,0.3513,0.21672,0.3121,0.1822,0.2031,0.21962
True,0.5664799809455872,0.18970000743865967,0.13896,0.1303,0.1404,0.1274,0.24762,0.2032,0.3715,0.19554,0.18918,0.1663,0.1854,0.17328,0.23952,0.1927,0.2428,0.20232,0.2909,0.2112,0.3514,0.21898,0.3111,0.1807,0.2023,0.21958
True,0.5862799882888794,0.17749999463558197,0.13226,0.1244,0.1314,0.12304,0.2445,0.2026,0.3621,0.19318,0.18586,0.1658,0.1858,0.16946,0.23416,0.1892,0.2391,0.20042,0.28418,0.2077,0.3589,0.21838,0.31896,0.1793,0.2116,0.21846
True,0.49928000569343567,0.18209999799728394,0.12466,0.1152,0.1219,0.11648,0.2394,0.1998,0.3468,0.18864,0.17454,0.1537,0.1723,0.16296,0.23116,0.1897,0.2424,0.1967,0.27432,0.2064,0.3465,0.21494,0.29728,0.1786,0.1942,0.21536
True,0.5414000153541565,0.17800000309944153,0.13212,0.1283,0.1306,0.12164,0.2448,0.207,0.3611,0.19654,0.18738,0.1653,0.1882,0.17568,0.23316,0.1898,0.2469,0.19956,0.28452,0.2112,0.3511,0.21666,0.3042,0.1787,0.1953,0.21572
False,0.7104600071907043,0.15719999372959137,0.1082,0.1052,0.1062,0.10142,0.20202,0.1786,0.2602,0.1682,0.17996,0.1564,0.187,0.1623,0.21276,0.1747,0.2275,0.18458,0.28138,0.1911,0.3185,0.20298,0.37866,0.1716,0.2295,0.2032
False,0.7186200022697449,0.17100000381469727,0.11564,0.1126,0.114,0.10834,0.21238,0.1856,0.2658,0.1772,0.17898,0.1561,0.1869,0.16242,0.2219,0.1851,0.2329,0.18874,0.28842,0.1971,0.3163,0.21228,0.36968,0.182,0.2311,0.21314
False,0.6687600016593933,0.16539999842643738,0.11578,0.1152,0.1143,0.10732,0.20488,0.1787,0.255,0.17092,0.17114,0.1505,0.1752,0.15392,0.2134,0.176,0.2253,0.18402,0.28134,0.1897,0.3043,0.20546,0.36382,0.1771,0.2269,0.20802
False,0.6917999982833862,0.17389999330043793,0.12062,0.1145,0.1156,0.11034,0.21482,0.1883,0.2659,0.18356,0.1876,0.1639,0.1952,0.16804,0.21838,0.1815,0.2285,0.18986,0.29342,0.1999,0.3268,0.21316,0.36728,0.175,0.2267,0.2124
False,0.6855599880218506,0.14990000426769257,0.09892,0.0951,0.0977,0.09144,0.18468,0.1638,0.2274,0.1545,0.15322,0.1415,0.1646,0.14256,0.195,0.1663,0.223,0.17026,0.25336,0.1854,0.3099,0.18522,0.34286,0.1643,0.224,0.1832
False,0.6496400237083435,0.15160000324249268,0.09708,0.0931,0.092,0.0901,0.18422,0.1625,0.2306,0.15466,0.15774,0.1436,0.1689,0.14232,0.19436,0.1666,0.2118,0.16666,0.24828,0.1778,0.2996,0.18174,0.333,0.1624,0.2174,0.18162
False,0.7032399773597717,0.16519999504089355,0.11108,0.1102,0.1103,0.1037,0.20274,0.1808,0.2531,0.17114,0.17364,0.153,0.1887,0.16068,0.21424,0.1801,0.2276,0.18316,0.28178,0.1961,0.3178,0.20418,0.3696,0.181,0.2367,0.21076
False,0.7099599838256836,0.1648000031709671,0.10136,0.0981,0.1037,0.101,0.20192,0.1752,0.2532,0.16988,0.17266,0.1505,0.1763,0.15434,0.20884,0.1749,0.2259,0.17892,0.27558,0.1882,0.3168,0.2007,0.36248,0.1716,0.2267,0.2044
