regularization,frozen,train_accuracy,val_accuracy,layer_0_train_separability,layer_0_test_separability,layer_1_train_separability,layer_1_test_separability,layer_2_train_separability,layer_2_test_separability,layer_3_train_separability,layer_3_test_separability,layer_4_train_separability,layer_4_test_separability,layer_5_train_separability,layer_5_test_separability
l1_0.001,False,0.008700000122189522,0.009999999776482582,0.1661,0.1414,0.16582,0.1432,0.14082,0.1271,0.06392,0.0585,0.01052,0.0103,0.01,0.01
l1_0.001,False,0.00839999970048666,0.009999999776482582,0.15676,0.132,0.15676,0.1317,0.14206,0.1245,0.05306,0.0503,0.01526,0.0161,0.01,0.01
l1_0.001,False,0.008999999612569809,0.009999999776482582,0.16512,0.1383,0.16558,0.1401,0.13728,0.1227,0.0737,0.0669,0.01024,0.0101,0.01,0.01
l1_0.001,False,0.008779999800026417,0.009999999776482582,0.16168,0.1398,0.1638,0.1383,0.13842,0.1248,0.06426,0.0597,0.01,0.01,0.01,0.01
l1_0.001,False,0.009180000051856041,0.009999999776482582,0.16272,0.143,0.16308,0.1452,0.1395,0.1273,0.06538,0.0611,0.01,0.01,0.01,0.01
l1_0.001,False,0.008659999817609787,0.009999999776482582,0.1638,0.1403,0.16426,0.1409,0.13906,0.123,0.06912,0.0623,0.01034,0.0102,0.01,0.01
l1_0.001,False,0.00872000027447939,0.009999999776482582,0.1618,0.1375,0.162,0.1366,0.1402,0.1272,0.06884,0.06,0.01088,0.0109,0.01,0.01
l1_0.001,False,0.008500000461935997,0.009999999776482582,0.1648,0.1379,0.1645,0.138,0.14016,0.1233,0.06774,0.0609,0.0165,0.0165,0.01,0.01
l1_0.001,False,0.008779999800026417,0.009999999776482582,0.16744,0.1439,0.16742,0.1438,0.135,0.124,0.07174,0.0687,0.01014,0.0102,0.01,0.01
l1_0.001,False,0.008559999987483025,0.009999999776482582,0.16084,0.1367,0.1608,0.1393,0.13018,0.1132,0.04494,0.0414,0.01,0.01,0.01,0.01
l1_0.001,False,0.008080000057816505,0.009999999776482582,0.1619,0.1383,0.16244,0.1377,0.13864,0.1232,0.07462,0.0704,0.01,0.01,0.01,0.01
l1_0.001,False,0.008679999969899654,0.009999999776482582,0.1655,0.1403,0.16572,0.1402,0.14482,0.1281,0.066,0.0648,0.01,0.01,0.01,0.01
l1_0.001,False,0.00827999971807003,0.009999999776482582,0.16216,0.1436,0.16156,0.1438,0.14404,0.1335,0.06612,0.0639,0.01,0.01,0.01,0.01
l1_0.001,False,0.008679999969899654,0.009999999776482582,0.16108,0.1387,0.1613,0.1384,0.14432,0.1265,0.06026,0.0568,0.01,0.01,0.01,0.01
l1_0.01,True,0.009560000151395798,0.009999999776482582,0.16456,0.144,0.1935,0.1596,0.14122,0.1277,0.13294,0.1197,0.15098,0.1105,0.01,0.01
l1_0.01,True,0.008500000461935997,0.009999999776482582,0.16702,0.14,0.20082,0.1604,0.14258,0.1326,0.12988,0.1194,0.15218,0.1159,0.01,0.01
l1_0.01,True,0.008960000239312649,0.009999999776482582,0.16616,0.146,0.19776,0.1595,0.1445,0.1295,0.1324,0.1218,0.15132,0.114,0.01,0.01
l1_0.01,True,0.008960000239312649,0.009999999776482582,0.1634,0.1423,0.20048,0.1612,0.1419,0.1263,0.13548,0.1222,0.15204,0.1174,0.01,0.01
l1_0.01,True,0.00860000029206276,0.009999999776482582,0.16626,0.1427,0.19568,0.1587,0.14104,0.1273,0.12886,0.1197,0.15114,0.1169,0.01,0.01
l1_0.01,True,0.008999999612569809,0.009999999776482582,0.1651,0.1425,0.20298,0.1669,0.14178,0.1326,0.12844,0.1219,0.15218,0.1152,0.01,0.01
l1_0.01,True,0.008999999612569809,0.009999999776482582,0.1646,0.1422,0.19822,0.1538,0.14014,0.1295,0.12918,0.1193,0.14742,0.1116,0.01,0.01
l1_0.01,True,0.009259999729692936,0.009999999776482582,0.16024,0.1365,0.1939,0.1544,0.13694,0.1247,0.13068,0.1203,0.14772,0.1123,0.01,0.01
l1_0.01,True,0.00872000027447939,0.009999999776482582,0.16622,0.1418,0.19616,0.1583,0.14064,0.1275,0.12888,0.1159,0.15156,0.1135,0.01,0.01
l1_0.01,True,0.009159999899566174,0.009999999776482582,0.166,0.1464,0.20064,0.1619,0.1321,0.1187,0.12704,0.1156,0.14826,0.1112,0.01,0.01
l1_0.01,True,0.008679999969899654,0.009999999776482582,0.16474,0.1412,0.19804,0.1614,0.1438,0.1279,0.13538,0.1203,0.15682,0.1139,0.01,0.01
l1_0.01,True,0.009320000186562538,0.009999999776482582,0.16574,0.1404,0.19944,0.1574,0.14108,0.1263,0.13654,0.1249,0.15666,0.1177,0.01,0.01
l1_0.01,True,0.008440000005066395,0.009999999776482582,0.1643,0.143,0.19636,0.1579,0.13984,0.1262,0.13018,0.1194,0.15304,0.1144,0.01,0.01
l1_0.01,True,0.009039999917149544,0.009999999776482582,0.16452,0.1397,0.19932,0.161,0.14298,0.1278,0.13328,0.1193,0.1522,0.1129,0.01,0.01
l1_0.01,True,0.008320000022649765,0.009999999776482582,0.16248,0.1386,0.19492,0.1564,0.13864,0.1254,0.13224,0.1204,0.14888,0.1127,0.01,0.01
l1_0.01,True,0.008740000426769257,0.009999999776482582,0.1652,0.1398,0.1966,0.161,0.13992,0.1263,0.13292,0.1201,0.14702,0.1141,0.01,0.01
l1_0.01,True,0.0094200000166893,0.009999999776482582,0.16848,0.1411,0.20116,0.1593,0.1437,0.1296,0.13268,0.1199,0.1537,0.1165,0.01,0.01
l1_0.01,True,0.008740000426769257,0.009999999776482582,0.16008,0.1369,0.1948,0.1563,0.13994,0.1245,0.12336,0.1105,0.14802,0.1062,0.01,0.01
l1_0.01,True,0.008340000174939632,0.009999999776482582,0.1694,0.1432,0.20144,0.1589,0.14388,0.1301,0.1377,0.1241,0.15352,0.1191,0.01,0.01
l1_0.01,True,0.0083600003272295,0.009999999776482582,0.17148,0.1457,0.2014,0.1605,0.14338,0.1278,0.13526,0.1242,0.15432,0.1161,0.01,0.01
l1_0.01,True,0.008539999835193157,0.009999999776482582,0.16654,0.1428,0.19948,0.1639,0.14044,0.1269,0.13312,0.1209,0.15184,0.1164,0.01,0.01
l1_0.01,True,0.008799999952316284,0.009999999776482582,0.16712,0.1454,0.20302,0.1618,0.14032,0.129,0.12604,0.1178,0.15238,0.116,0.01,0.01
l1_0.01,True,0.00800000037997961,0.009999999776482582,0.1674,0.1395,0.20072,0.1613,0.1469,0.1323,0.13616,0.121,0.15664,0.1184,0.01,0.01
l1_0.01,True,0.008820000104606152,0.009999999776482582,0.16136,0.1412,0.19836,0.1566,0.14338,0.1306,0.13068,0.1179,0.15296,0.1154,0.01,0.01
l1_0.01,True,0.008820000104606152,0.009999999776482582,0.16526,0.1424,0.20118,0.1597,0.1439,0.1283,0.13398,0.121,0.15462,0.1168,0.01,0.01
l1_0.01,False,0.008820000104606152,0.009999999776482582,0.15592,0.1331,0.15678,0.1343,0.13608,0.1224,0.06582,0.0593,0.01006,0.01,0.01,0.01
l1_0.01,False,0.008679999969899654,0.009999999776482582,0.16742,0.1433,0.16876,0.1418,0.14708,0.1311,0.07634,0.0709,0.0136,0.0135,0.01,0.01
l1_0.01,False,0.009060000069439411,0.009999999776482582,0.1638,0.1417,0.16458,0.1423,0.14024,0.1248,0.0661,0.0634,0.01,0.01,0.01,0.01
l1_0.01,False,0.008220000192523003,0.009999999776482582,0.16458,0.142,0.16572,0.1415,0.145,0.1315,0.06464,0.0581,0.01,0.01,0.01,0.01
l1_0.01,False,0.008679999969899654,0.009999999776482582,0.16068,0.1392,0.16114,0.1392,0.1345,0.121,0.06478,0.0581,0.01274,0.0119,0.01,0.01
l1_0.01,False,0.008860000409185886,0.009999999776482582,0.162,0.1345,0.16246,0.134,0.12944,0.1203,0.07374,0.072,0.01,0.01,0.01,0.01
l1_0.01,False,0.00851999968290329,0.009999999776482582,0.16152,0.1443,0.16298,0.1446,0.13574,0.1272,0.04984,0.0463,0.0166,0.0156,0.01,0.01
l1_0.01,False,0.008820000104606152,0.009999999776482582,0.1618,0.1399,0.1622,0.1397,0.14282,0.1277,0.06626,0.0649,0.01344,0.0135,0.01,0.01
l1_0.01,False,0.008940000087022781,0.009999999776482582,0.1606,0.1344,0.16148,0.1363,0.13658,0.1236,0.06628,0.0593,0.01478,0.0142,0.01,0.01
l1_0.01,False,0.008740000426769257,0.009999999776482582,0.16526,0.1412,0.1652,0.141,0.14624,0.1307,0.07712,0.0702,0.01014,0.0101,0.01,0.01
l1_0.01,False,0.008960000239312649,0.009999999776482582,0.15966,0.139,0.16032,0.1379,0.14212,0.1269,0.0595,0.0547,0.01,0.01,0.01,0.01
l1_0.01,False,0.00851999968290329,0.009999999776482582,0.16386,0.1394,0.16422,0.1406,0.14704,0.127,0.0694,0.0644,0.0155,0.0159,0.01,0.01
l1_0.01,False,0.008200000040233135,0.009999999776482582,0.1641,0.139,0.16434,0.1385,0.14106,0.1253,0.06498,0.0596,0.01424,0.0144,0.01,0.01
l1_0.01,False,0.00875999964773655,0.009999999776482582,0.16104,0.1422,0.16174,0.1411,0.13492,0.1172,0.06094,0.0561,0.01392,0.0129,0.01,0.01
l1_0.01,False,0.009379999712109566,0.009999999776482582,0.16568,0.1396,0.16608,0.1408,0.14656,0.1267,0.06978,0.0648,0.01646,0.0166,0.01,0.01
l1_0.01,False,0.009180000051856041,0.009999999776482582,0.16128,0.1424,0.162,0.1417,0.13826,0.1259,0.07046,0.0653,0.01,0.01,0.01,0.01
