trial,epoch,frozen,train_accuracy,val_accuracy,layer_0_train_separability,layer_0_test_separability,layer_1_train_separability,layer_1_test_separability,layer_2_train_separability,layer_2_test_separability,layer_3_train_separability,layer_3_test_separability,layer_4_train_separability,layer_4_test_separability,layer_5_train_separability,layer_5_test_separability
0,0,True,0.10241666436195374,0.09860000014305115,0.76435,0.7719,0.7696333333333333,0.7777,0.6402833333333333,0.6504,0.5873666666666667,0.6077,0.6184166666666666,0.635,0.5267333333333334,0.5418
0,1,True,0.8925166726112366,0.9520999789237976,0.91045,0.9136,0.9431333333333334,0.9414,0.9389,0.9376,0.9437666666666666,0.9398,0.9547833333333333,0.9521,0.9539333333333333,0.9528
0,2,True,0.9562333226203918,0.95660001039505,0.92125,0.9224,0.9531666666666667,0.9487,0.9534833333333333,0.9505,0.9590166666666666,0.9556,0.9691833333333333,0.9623,0.9689833333333333,0.9613
0,3,True,0.9665833115577698,0.9631999731063843,0.9221666666666667,0.9217,0.9567166666666667,0.9507,0.9603333333333334,0.9551,0.9664166666666667,0.9601,0.97565,0.9672,0.9766333333333334,0.9664
0,4,True,0.9731333255767822,0.9664000272750854,0.9256166666666666,0.9229,0.9588166666666667,0.9527,0.9652833333333334,0.9585,0.9721833333333333,0.9625,0.9802,0.9713,0.98075,0.9705
0,5,True,0.9779000282287598,0.9708999991416931,0.9283666666666667,0.9261,0.9602666666666667,0.955,0.9667,0.9613,0.9752666666666666,0.966,0.9834833333333334,0.9721,0.9840833333333333,0.9727
0,6,True,0.9791666865348816,0.9717000126838684,0.9313166666666667,0.9251,0.9628,0.954,0.9703833333333334,0.961,0.9781166666666666,0.9658,0.98485,0.9711,0.9855833333333334,0.9715
0,7,True,0.982283353805542,0.9713000059127808,0.9310833333333334,0.9286,0.96275,0.9526,0.96955,0.9615,0.9774833333333334,0.9684,0.98525,0.9723,0.9859,0.9724
0,8,True,0.9844666719436646,0.9711999893188477,0.9320833333333334,0.9289,0.9636,0.9565,0.9719833333333333,0.964,0.9804833333333334,0.9685,0.9886,0.9737,0.98875,0.9731
0,9,True,0.9858166575431824,0.968999981880188,0.9310333333333334,0.927,0.9623333333333334,0.9547,0.97435,0.9636,0.9823,0.9694,0.98905,0.9736,0.99015,0.9739
0,10,True,0.986050009727478,0.9697999954223633,0.93195,0.9267,0.9627333333333333,0.9544,0.9735833333333334,0.9643,0.98245,0.9679,0.9902833333333333,0.9734,0.9911333333333333,0.9753
0,11,True,0.9878666400909424,0.9728999733924866,0.9317833333333333,0.9258,0.9623666666666667,0.9548,0.9751666666666666,0.9641,0.98285,0.9687,0.9908666666666667,0.9726,0.9914833333333334,0.972
0,12,True,0.9892666935920715,0.9693999886512756,0.9317,0.9263,0.9639166666666666,0.9548,0.9751333333333333,0.965,0.9833333333333333,0.9696,0.9908833333333333,0.9733,0.9917,0.9739
0,13,True,0.9897500276565552,0.9706000089645386,0.9318833333333333,0.9271,0.96225,0.9528,0.9754,0.9633,0.9825666666666667,0.9666,0.9901333333333333,0.972,0.99165,0.9716
0,14,True,0.9916499853134155,0.9732999801635742,0.9312833333333334,0.9273,0.9639333333333333,0.9545,0.9770666666666666,0.9637,0.9852833333333333,0.9696,0.9924333333333333,0.9724,0.9931,0.9726
